City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
Rikitea,-23.12,-134.97,72.88,85,47,13.47,PF,1594674187
Hay River,60.82,-115.8,55.4,93,90,21.92,CA,1594674389
Chui,-33.7,-53.46,43.5,62,1,11.39,UY,1594674217
Wagar,16.15,36.2,92.71,34,3,16.22,SD,1594674390
Puerto del Rosario,28.5,-13.86,73.4,73,20,18.34,ES,1594674390
Tasiilaq,65.61,-37.64,42.8,81,95,10.29,GL,1594674184
Candelaria,13.93,121.42,75.99,88,100,2.33,PH,1594674391
Westport,41.14,-73.36,89.01,51,1,12.75,US,1594674270
Carutapera,-1.2,-46.02,76.95,92,61,5.7,BR,1594674392
Tadine,-21.55,167.88,73.0,72,100,8.23,NC,1594674392
Kashgar,39.45,75.98,69.8,49,20,6.71,CN,1594674392
Nanortalik,60.14,-45.24,44.87,91,100,0.65,GL,1594674260
Caesarea,32.52,34.9,78.8,74,20,4.7,IL,1594674393
Baijiantan,45.63,85.18,75.16,33,2,6.13,CN,1594674394
Busselton,-33.65,115.33,54.0,72,82,18.48,AU,1594674192
Valentín Gómez Farías,28.22,-106.58,91.98,14,0,6.58,MX,1594674396
Dingle,11.0,122.67,76.28,89,100,1.3,PH,1594674018
Grünberg,50.59,8.96,61.0,75,5,2.06,DE,1594674396
Tuktoyaktuk,69.45,-133.04,62.6,55,40,5.82,CA,1594674179
Grindavik,63.84,-22.43,50.0,81,75,8.05,IS,1594674123
Panzhihua,26.59,101.71,71.35,81,100,1.32,CN,1594674398
Dalbandin,28.89,64.41,84.78,18,0,4.45,PK,1594674398
Sørland,67.67,12.69,53.6,87,20,13.87,NO,1594674220
Mergen,49.18,125.22,68.67,76,9,0.51,CN,1594674399
Hambantota,6.12,81.12,81.3,82,49,14.65,LK,1594674399
Kiryat Gat,31.61,34.76,78.01,69,0,1.41,IL,1594674217
Punta Arenas,-53.15,-70.92,33.8,84,75,6.93,CL,1594673988
Doha,25.29,51.53,97.0,50,96,8.05,QA,1594674170
Mahébourg,-20.41,57.7,69.8,88,40,11.41,MU,1594674237
Tambacounda,13.75,-13.76,87.85,56,83,5.82,SN,1594674401
Nikolskoye,59.7,30.79,55.4,76,20,4.47,RU,1594674223
Puerto Ayora,-0.74,-90.35,70.0,89,56,3.0,EC,1594674111
Ilulissat,69.22,-51.1,44.6,75,99,6.93,GL,1594674212
Khatanga,71.97,102.5,61.29,61,1,10.89,RU,1594674179
Mount Gambier,-37.83,140.77,39.2,100,0,4.61,AU,1594674027
Port Elizabeth,-33.92,25.57,55.4,58,0,14.99,ZA,1594674199
East London,-33.02,27.91,60.91,41,0,24.7,ZA,1594674184
Beya,53.05,90.91,58.55,78,100,2.68,RU,1594674408
New Norfolk,-42.78,147.06,41.0,91,4,2.04,AU,1594674199
Chokurdakh,70.63,147.92,62.2,49,14,13.98,RU,1594673998
Lüderitz,-26.65,15.16,57.2,71,0,11.41,NA,1594674026
Cidreira,-30.18,-50.21,51.98,63,66,8.7,BR,1594673939
Qaanaaq,77.48,-69.36,45.81,62,0,9.08,GL,1594674178
Saint-Philippe,-21.36,55.77,68.0,72,43,5.82,RE,1594674194
Kalcheva,45.74,28.81,60.76,65,0,13.29,UA,1594674412
Lebu,-37.62,-73.65,50.99,71,0,4.14,CL,1594674192
Madimba,-10.4,40.33,72.39,87,23,9.15,TZ,1594674413
Flinders,-34.58,150.86,57.0,86,100,11.99,AU,1594674256
Vinh,18.67,105.67,79.07,83,77,3.91,VN,1594674413
Arraial do Cabo,-22.97,-42.03,82.4,65,0,6.93,BR,1594674110
Beringovskiy,63.05,179.32,49.28,91,100,3.15,RU,1594674414
Anadyr,64.75,177.48,55.4,76,40,13.42,RU,1594674164
Port Lincoln,-34.73,135.87,51.96,88,0,9.31,AU,1594674036
Ahipara,-35.17,173.17,56.25,86,78,4.68,NZ,1594674190
Port Blair,11.67,92.75,80.67,79,100,10.98,IN,1594674032
Saint Paul Harbor,57.79,-152.41,55.4,82,100,9.17,US,1594673994
Oktyabr'skoye,43.06,44.74,69.8,88,85,6.71,RU,1594674418
Fairbanks,64.84,-147.72,57.2,93,90,3.36,US,1594674156
Lata,40.16,-8.33,73.99,77,0,8.05,PT,1594674043
Berezhany,49.45,24.93,49.68,92,0,5.95,UA,1594674419
Ambilobe,-13.2,49.05,66.96,78,66,3.0,MG,1594674288
Iracoubo,5.48,-53.2,80.8,77,1,8.75,GF,1594674419
Provideniya,64.38,-173.3,51.8,71,92,6.71,RU,1594674201
Andros Town,24.7,-77.77,87.8,66,75,6.93,BS,1594674308
Pevek,69.7,170.31,43.39,69,86,2.84,RU,1594674217
Talcahuano,-36.72,-73.12,57.2,62,0,6.93,CL,1594674421
Bredy,52.42,60.34,69.67,73,100,3.98,RU,1594674421
Meulaboh,4.14,96.13,77.0,83,99,3.74,ID,1594674233
Iqaluit,63.75,-68.51,66.2,34,20,17.22,CA,1594674011
Vestmanna,62.16,-7.17,51.8,100,88,6.93,FO,1594674422
Kapit,2.02,112.93,74.03,95,100,1.45,MY,1594674423
Upernavik,72.79,-56.15,41.58,85,61,9.08,GL,1594674211
Kaitangata,-46.28,169.85,42.01,83,66,5.01,NZ,1594674157
Pisco,-13.7,-76.22,62.01,87,90,9.17,PE,1594674180
Lake Charles,30.21,-93.2,96.01,66,75,8.05,US,1594674175
Oranjestad,12.52,-70.03,87.8,70,20,20.8,AW,1594673973
Lakes Entrance,-37.88,147.98,48.99,97,58,5.77,AU,1594674426
Jamestown,42.1,-79.24,73.99,56,75,12.75,US,1594673885
Alyangula,-13.85,136.42,66.2,63,32,4.7,AU,1594674292
Palmer,42.16,-72.33,86.0,51,40,4.7,US,1594674165
Hermanus,-34.42,19.23,48.99,77,99,5.01,ZA,1594674193
Thompson,55.74,-97.86,64.4,93,75,6.93,CA,1594673970
Clyde River,70.47,-68.59,53.6,62,20,4.7,CA,1594674027
Turaif,31.67,38.66,82.4,37,0,13.87,SA,1594674430
Buala,-8.14,159.59,80.71,76,100,4.14,SB,1594674270
Baghmara,23.8,86.21,84.6,77,100,3.33,IN,1594674431
Castro,-24.79,-50.01,63.3,82,2,5.12,BR,1594674211
Bambous Virieux,-20.34,57.76,71.01,88,40,11.41,MU,1594674196
Yulara,-25.24,130.99,41.0,60,0,6.93,AU,1594674279
Gisborne,-38.65,178.0,48.99,90,100,1.99,NZ,1594674352
Saryagash,41.45,69.17,75.2,50,26,6.93,KZ,1594674433
São Filipe,14.9,-24.5,78.46,83,60,5.32,CV,1594674254
Tambura,5.6,27.47,69.96,93,100,2.15,SS,1594674433
Khunti,23.08,85.28,76.17,87,100,4.36,IN,1594674434
Muravlenko,63.79,74.52,49.55,78,30,11.61,RU,1594674434
São João da Barra,-21.64,-41.05,86.0,42,1,10.31,BR,1594674250
Coyhaique,-45.58,-72.07,41.0,56,20,5.82,CL,1594674057
Hithadhoo,-0.6,73.08,84.29,76,67,9.71,MV,1594674179
Lashio,22.93,97.75,68.29,100,100,0.25,MM,1594674230
Hong Kong,22.29,114.16,84.99,83,9,13.0,HK,1594674236
Vila,42.03,-8.16,78.01,36,0,14.99,PT,1594674212
Takhtamygda,54.1,123.57,69.91,67,100,1.99,RU,1594674441
Kruisfontein,-34.0,24.73,48.76,52,26,14.61,ZA,1594674114
Isoka,-10.16,32.63,55.09,77,4,1.74,ZM,1594674441
Sovetskiy,61.36,63.58,57.15,76,99,3.67,RU,1594674442
Bengkulu,-3.8,102.27,75.09,88,93,4.09,ID,1594673998
Coahuayana Viejo,18.73,-103.68,82.4,74,40,11.41,MX,1594673939
Paoua,7.24,16.44,69.89,94,100,4.09,CF,1594674443
Keti Bandar,24.14,67.45,83.86,78,0,13.51,PK,1594674222
Port Macquarie,-31.43,152.92,52.0,70,100,4.0,AU,1594674444
Samaná,19.21,-69.34,87.8,74,20,6.93,DO,1594674243
Mizdah,31.45,12.98,73.63,49,0,11.03,LY,1594674444
Yumen,40.28,97.2,65.88,49,23,3.67,CN,1594674445
Bumba,2.18,22.47,72.68,90,93,2.17,CD,1594674445
Coolum Beach,-26.53,153.1,51.01,85,0,1.99,AU,1594674445
Torbay,47.67,-52.73,78.8,69,20,13.87,CA,1594674183
Yellowknife,62.46,-114.35,60.8,93,90,19.46,CA,1594674201
Luganville,-15.53,167.17,71.6,94,75,10.42,VU,1594674446
Vila Velha,-20.33,-40.29,80.6,65,0,8.05,BR,1594674189
San Patricio,19.22,-104.7,91.4,66,20,11.41,MX,1594674247
Haverfordwest,51.8,-4.97,63.0,100,82,11.41,GB,1594674191
Bethel,41.37,-73.41,88.0,48,20,10.29,US,1594673989
Port Hardy,50.7,-127.42,60.8,77,75,6.93,CA,1594674117
Cabo San Lucas,22.89,-109.91,91.0,55,20,8.05,MX,1594674208
Klaksvík,62.23,-6.59,51.8,100,99,6.93,FO,1594674289
‘Āhuimanu,21.44,-157.84,82.4,69,90,10.29,US,1594674226
Sri Aman,1.24,111.46,73.4,100,100,0.78,MY,1594674451
Biasca,46.36,8.97,71.6,68,75,3.36,CH,1594674451
Bekovo,52.47,43.71,66.99,73,74,10.2,RU,1594674452
Faanui,-16.48,-151.75,79.03,81,100,16.17,PF,1594674193
Carnarvon,-24.87,113.63,60.8,93,90,5.82,AU,1594674195
Nemuro,43.32,145.57,56.21,90,88,5.46,JP,1594674454
Syracuse,37.09,15.28,78.8,78,7,5.82,IT,1594674454
Ponta do Sol,32.67,-17.1,71.6,64,20,11.41,PT,1594674103
Tuatapere,-46.13,167.68,39.0,83,51,3.0,NZ,1594674209
Fortuna,40.6,-124.16,63.0,72,40,13.87,US,1594674204
Bredasdorp,-34.53,20.04,48.2,81,86,17.22,ZA,1594674208
Ryomgård,56.38,10.5,59.0,72,55,3.36,DK,1594674458
Alofi,-19.06,-169.92,71.6,68,75,17.22,NU,1594674064
Kahului,20.89,-156.47,87.8,43,40,14.99,US,1594674202
Kipushi,-11.77,27.23,57.13,57,0,3.0,CD,1594674460
Izhma,65.01,53.91,52.16,68,4,3.6,RU,1594674460
Barão de Melgaço,-16.19,-55.97,95.0,23,40,2.24,BR,1594674304
Severo-Kuril'sk,50.68,156.12,49.19,87,100,5.55,RU,1594674005
Lamar,33.67,-95.58,97.0,70,1,11.41,US,1594674464
Cape Town,-33.93,18.42,55.0,66,75,6.93,ZA,1594674018
Rustenburg,-25.67,27.24,48.16,47,0,4.12,ZA,1594674465
Igarka,67.47,86.58,52.02,95,100,6.2,RU,1594674318
Touros,-5.2,-35.46,78.8,61,20,9.17,BR,1594674272
Bariloche,-41.15,-71.31,39.2,51,73,10.29,AR,1594674466
Pangnirtung,66.15,-65.71,51.8,76,75,10.29,CA,1594674247
Cilegon,-6.02,106.05,78.8,88,40,1.12,ID,1594674467
Kiunga,-6.12,141.29,72.75,99,97,1.52,PG,1594674467
Lavrentiya,65.58,-171.0,45.93,76,88,6.46,RU,1594674246
Nome,64.5,-165.41,61.0,66,1,6.93,US,1594674012
Strezhevoy,60.73,77.59,60.8,77,1,4.47,RU,1594674470
Wawa,9.9,4.42,75.07,90,79,5.35,NG,1594674470
Verkhnevilyuysk,63.45,120.32,64.15,77,14,2.17,RU,1594674470
Saldanha,-33.01,17.94,51.8,81,99,2.24,ZA,1594674193
Hirara,24.8,125.28,84.63,82,100,12.48,JP,1594674471
Yatou,37.15,122.38,65.05,86,73,12.53,CN,1594674471
Sitka,57.05,-135.33,57.2,71,90,3.36,US,1594674220
Fort Nelson,58.81,-122.7,68.0,49,75,13.87,CA,1594674472
Ribeira Grande,38.52,-28.7,71.6,73,40,16.11,PT,1594674130
Bay Roberts,47.6,-53.26,78.01,55,27,13.0,CA,1594674473
Elko,41.0,-115.5,90.0,14,0,17.0,US,1594674228
Reconquista,-29.15,-59.65,54.88,57,0,7.65,AR,1594674473
Suez,29.97,32.53,76.6,72,0,13.8,EG,1594674275
Hilo,19.73,-155.09,82.4,61,20,8.05,US,1594674203
Plettenberg Bay,-34.05,23.37,52.79,56,41,19.55,ZA,1594674475
Trat,12.5,102.5,76.05,91,94,4.36,TH,1594674475
Broome,42.25,-75.83,79.0,50,20,5.82,US,1594674132
Te Anau,-45.42,167.72,33.42,93,33,1.03,NZ,1594674136
Korla,41.76,86.15,78.01,52,64,5.01,CN,1594674310
Santa Helena de Goiás,-17.81,-50.6,80.19,42,33,1.7,BR,1594674476
Saint-Augustin,51.23,-58.65,57.13,86,100,18.72,CA,1594674477
Ostrovnoy,68.05,39.51,43.5,87,63,3.09,RU,1594674218
Angul,20.85,85.1,82.98,77,100,1.88,IN,1594674478
Puri,19.8,85.85,82.4,94,75,3.36,IN,1594674478
Verkhnyaya Inta,65.98,60.31,49.33,77,52,11.03,RU,1594674478
Christchurch,-43.53,172.63,30.2,100,0,1.12,NZ,1594674468
Rocha,-34.48,-54.33,40.26,68,0,10.87,UY,1594674274
Panabá,21.28,-88.27,89.67,61,23,9.89,MX,1594674479
Port Alfred,-33.59,26.89,57.42,44,0,26.87,ZA,1594674178
Orocué,4.79,-71.34,84.2,66,37,6.2,CO,1594674481
Rafai,4.95,23.92,69.15,96,100,4.12,CF,1594674482
Tortolì,39.93,9.66,69.8,100,5,10.29,IT,1594674482
Kousséri,12.08,15.03,84.2,70,57,5.82,CM,1594674348
Mandera,3.94,41.87,81.23,54,51,25.57,KE,1594674483
San Policarpo,12.18,125.51,80.92,82,68,5.59,PH,1594674483
Domoni,-12.26,44.53,73.78,74,2,4.03,KM,1594674484
Quatre Cocos,-20.21,57.76,71.01,88,40,11.41,MU,1594674473
Nueva Imperial,-38.73,-72.95,50.0,53,50,5.82,CL,1594674484
Batemans Bay,-35.72,150.18,55.0,74,85,5.01,AU,1594674210
Hofn,64.25,-15.21,50.95,81,91,4.07,IS,1594674229
Razdolinsk,58.42,94.67,56.5,78,73,1.99,RU,1594674486
Saint George,37.1,-113.58,108.0,13,1,24.16,US,1594674027
Ixtapa,20.7,-105.2,89.01,70,40,11.41,MX,1594674486
Portland,45.52,-122.68,78.01,38,20,9.17,US,1594674422
Chapais,49.78,-74.85,73.4,38,1,11.41,CA,1594674222
Bud,39.45,-86.18,82.4,45,40,7.56,US,1594674487
San Cristobal,7.77,-72.22,91.4,41,40,23.04,VE,1594674181
La Providencia,28.72,-111.58,102.0,49,0,13.0,MX,1594674295
Bac Lieu,9.29,105.72,78.89,89,100,6.2,VN,1594674490
Cockburn Town,21.46,-71.14,83.77,82,0,15.01,TC,1594674206
Uvira,-3.41,29.15,74.62,53,32,0.98,CD,1594674491
Lompoc,34.64,-120.46,68.0,72,5,14.99,US,1594674270
Banda Aceh,5.56,95.32,79.03,82,100,4.47,ID,1594674240
Isangel,-19.55,169.27,66.2,100,40,8.1,VU,1594674252
Kushmurun,52.45,64.63,69.28,62,0,6.71,KZ,1594674492
Warmbad,-28.45,18.73,45.61,67,13,12.12,NA,1594674492
Yanam,16.73,82.22,82.26,81,100,4.9,IN,1594674493
Jackson,42.42,-122.83,86.0,34,1,6.93,US,1594674430
Iizuka,33.63,130.68,73.4,94,90,9.17,JP,1594674493
Boyolangu,-8.12,111.89,73.51,91,39,1.45,ID,1594674494
Belle Glade,26.68,-80.67,95.0,44,1,4.7,US,1594674358
The Valley,18.22,-63.06,87.8,62,20,16.11,AI,1594674494
Jiazi,22.88,116.07,81.7,86,20,9.24,CN,1594674495
Deputatsky,69.3,139.9,52.79,87,100,4.56,RU,1594674433
Zuwārah,32.93,12.08,77.83,75,0,11.5,LY,1594674495
Chaoyang,41.57,120.46,69.82,71,85,4.21,CN,1594674496
Yārāda,17.65,83.27,78.8,100,90,3.36,IN,1594674303
Uruçuí,-7.23,-44.56,86.13,36,100,5.68,BR,1594674266
Sambava,-14.27,50.17,68.7,86,54,10.42,MG,1594674475
Tari,12.41,4.49,85.86,46,22,7.87,NG,1594674497
Sobolevo,54.43,31.9,51.82,95,68,6.53,RU,1594674248
Avarua,-21.21,-159.78,71.6,64,93,4.7,CK,1594674129
Northam,51.03,-4.22,60.01,99,100,5.01,GB,1594674498
Tiznit Province,29.58,-9.5,77.41,43,1,3.69,MA,1594674234
Kavieng,-2.57,150.8,82.0,75,100,10.0,PG,1594674124
La Argentina,2.2,-75.98,69.58,81,52,3.06,CO,1594674499
Omboué,-1.57,9.26,72.12,88,39,8.39,GA,1594674500
Bereda,43.27,-7.54,63.0,76,0,8.01,ES,1594674500
Fare,-16.7,-151.02,79.34,80,100,15.43,PF,1594674500
Bilma,18.69,12.92,90.93,25,2,3.71,NE,1594674501
Belinsky,52.96,43.42,69.8,85,43,12.82,RU,1594674501
Antofagasta,-23.65,-70.4,59.0,67,0,8.05,CL,1594674277
Kavaratti,10.57,72.64,82.76,76,100,10.65,IN,1594674301
Kyzyl-Suu,42.34,78.0,56.5,48,87,2.3,KG,1594674504
Longyearbyen,78.22,15.64,48.2,76,75,5.82,SJ,1594674010
Ancud,-41.87,-73.82,44.6,65,100,3.36,CL,1594673994
Teeli,51.03,90.23,54.79,78,98,0.65,RU,1594674506
George Town,5.41,100.34,78.8,94,20,5.35,MY,1594673982
Lulindi,-10.82,39.13,64.0,91,50,5.17,TZ,1594674507
San Javier,37.81,-0.84,78.01,78,20,5.82,ES,1594674507
Porto Nacional,-10.71,-48.42,89.6,38,8,4.7,BR,1594674508
Reading,51.46,-0.97,64.99,93,75,2.24,GB,1594674508
Purwodadi Grobogan,-7.09,110.92,73.87,89,0,4.05,ID,1594674508
Vao,-22.67,167.48,72.45,77,100,13.29,NC,1594674015
Kumul,42.8,93.45,72.63,37,0,8.48,CN,1594674260
Salinópolis,-0.61,-47.36,79.93,85,36,10.29,BR,1594674241
Teguise,29.06,-13.56,71.6,78,20,23.04,ES,1594674510
Grand Bend,43.32,-81.75,72.0,83,1,5.01,CA,1594674510
Sukhumi,43.0,41.02,70.14,81,99,8.34,GE,1594674511
Cabra,37.47,-4.44,93.2,36,1,10.29,ES,1594674511
Hammerfest,70.66,23.68,50.0,76,19,13.87,NO,1594674511
Barcelos,41.54,-8.62,84.99,60,0,2.24,PT,1594674512
Mogzon,51.74,111.96,55.62,89,6,0.85,RU,1594674512
Manzhouli,49.6,117.43,66.4,82,100,1.72,CN,1594674512
Tikhoretsk,45.85,40.13,68.23,88,96,8.52,RU,1594674513
Sabang,5.89,95.32,81.66,77,99,5.08,ID,1594674272
Marawi,8.0,124.29,73.99,95,79,4.0,PH,1594674222
Priargunsk,50.37,119.1,65.37,89,99,3.29,RU,1594674514
Copiapó,-27.37,-70.33,60.8,63,0,8.05,CL,1594674322
Tanhaçu,-14.02,-41.25,73.38,58,77,2.08,BR,1594674515
Constitución,-35.33,-72.42,58.77,73,18,7.96,CL,1594674255
Codrington,-38.27,141.97,41.14,91,7,2.37,AU,1594674231
Daru,-9.08,143.21,77.09,89,97,16.73,PG,1594674516
Belmonte,-15.86,-38.88,77.0,73,90,3.36,BR,1594674484
Miyang,24.4,103.44,61.63,89,83,2.84,CN,1594674516
Colares,38.8,-9.45,78.01,57,0,23.04,PT,1594674271
Edd,13.93,41.69,88.95,66,38,5.46,ER,1594674517
Turochak,52.26,87.12,59.29,93,100,1.12,RU,1594674517
Jalu,29.03,21.55,78.76,58,0,14.92,LY,1594674519
Mount Darwin,-16.77,31.58,54.68,67,0,1.39,ZW,1594674520
Pokaran,26.92,71.92,90.91,50,0,19.13,IN,1594674520
Leh,34.17,77.58,58.1,36,0,4.29,IN,1594674244
Kitui,-1.37,38.01,62.53,71,55,9.08,KE,1594674521
Mānsa,29.98,75.38,92.82,42,0,4.56,IN,1594674521
Uíge,-7.61,15.06,67.17,72,65,2.59,AO,1594674246
Sola,-13.88,167.55,80.6,83,75,6.93,VU,1594674522
Bodden Town,19.28,-81.25,89.6,66,20,11.41,KY,1594674522
Ilhabela,-23.78,-45.36,70.48,83,80,1.32,BR,1594674522
Chuchkovo,54.27,41.45,63.88,96,32,4.97,RU,1594674523
Sistranda,63.73,8.83,53.6,71,100,6.93,NO,1594674523
Bathsheba,13.22,-59.52,86.0,70,40,19.46,BB,1594674142
Okhotsk,59.38,143.3,61.79,68,21,1.79,RU,1594673933
San Rafael,-34.62,-68.33,44.55,59,12,8.59,AR,1594674524
Turkmenabat,39.07,63.58,80.6,24,0,5.66,TM,1594674525
Houma,29.6,-90.72,97.0,70,40,13.87,US,1594674525
Sarlat-la-Canéda,44.89,1.22,69.01,47,41,5.44,FR,1594674252
Half Moon Bay,37.46,-122.43,71.01,87,75,4.7,US,1594674054
Comodoro Rivadavia,-45.87,-67.5,42.8,45,20,11.41,AR,1594674416
Villarrica,-25.75,-56.43,62.29,94,96,9.33,PY,1594674526
Coxim,-18.51,-54.76,86.32,34,3,0.51,BR,1594674527
Carinhanha,-14.3,-43.77,77.67,30,0,4.03,BR,1594674527
Yangi Marg`ilon,40.43,71.72,80.6,32,90,6.93,UZ,1594674528
Leningradskiy,69.38,178.42,38.26,86,100,8.32,RU,1594674019
Pemangkat,1.17,108.97,76.96,88,89,4.85,ID,1594674528
Trofors,65.53,13.41,55.4,66,40,1.12,NO,1594674529
Airai,-8.93,125.41,54.28,86,24,4.29,TL,1594674044
Lefka,35.11,32.85,80.6,94,0,8.05,CY,1594674529
Mariehamn,60.1,19.93,44.6,93,22,1.12,AX,1594674530
Hamilton,39.18,-84.53,87.01,48,20,3.36,US,1594674243
Charters Towers,-20.1,146.27,46.63,55,65,10.6,AU,1594674530
Sibu,2.3,111.82,73.4,100,40,1.12,MY,1594674531
Butte,39.65,-121.57,97.0,30,1,9.17,US,1594674531
Naviraí,-23.07,-54.19,74.64,71,62,0.63,BR,1594674532
Coruripe,-10.13,-36.18,74.91,82,0,5.37,BR,1594674532
Coquimbo,-29.95,-71.34,57.2,76,52,9.17,CL,1594674532
Esim,4.87,-2.24,75.22,85,35,12.08,GH,1594674417
Patnos,39.23,42.86,62.04,68,99,4.23,TR,1594674533
Ca Mau,9.18,105.15,78.33,93,100,3.6,VN,1594674286
Norman Wells,65.28,-126.83,68.0,52,40,3.36,CA,1594674196
Cherskiy,68.75,161.3,60.66,61,6,2.19,RU,1594674109
Zhezkazgan,47.8,67.71,75.54,31,0,14.99,KZ,1594674537
Vanimo,-2.67,141.3,76.32,85,51,4.21,PG,1594674538
Oussouye,12.48,-16.55,84.2,83,40,6.93,SN,1594674538
Tuy Hoa,13.08,109.3,76.78,87,63,5.35,VN,1594674538
Hopelchén,19.77,-89.85,93.2,46,20,6.93,MX,1594674539
Tautira,-17.73,-149.15,80.6,74,75,18.34,PF,1594674539
Mufumbwe,-13.68,24.8,57.45,45,0,4.63,ZM,1594674539
Menongue,-14.66,17.69,49.53,44,0,1.79,AO,1594674540
Catuday,16.29,119.81,76.64,86,100,1.54,PH,1594674540
Hīt,33.64,42.83,85.82,20,0,2.71,IQ,1594674540
Santo Antônio do Içá,-3.1,-67.94,82.15,92,88,2.57,BR,1594674541
Richards Bay,-28.78,32.04,61.12,44,0,6.51,ZA,1594674192
Narsaq,60.92,-46.05,57.2,71,100,8.05,GL,1594674021
Mangaratiba,-22.96,-44.04,78.8,57,30,6.93,BR,1594674542
Kununurra,-15.77,128.73,59.0,38,0,6.93,AU,1594674428
Arrondissement de Saint-Denis,48.92,2.33,71.6,40,100,12.75,FR,1594674543
Talaya,61.38,152.75,65.44,57,100,9.37,RU,1594674543
São Félix do Xingu,-6.64,-51.99,82.29,43,7,1.34,BR,1594674543
Taos,36.41,-105.57,89.6,17,20,14.99,US,1594674544
Qian’an,44.99,124.06,70.09,83,39,5.21,CN,1594674544
Port Augusta,-32.5,137.77,48.2,100,90,2.24,AU,1594674494
Avera,33.19,-82.53,93.2,46,40,12.75,US,1594674545
Esperance,-33.87,121.9,51.8,37,0,19.46,AU,1594674209
Kaputa,-8.47,29.66,68.76,51,0,2.17,ZM,1594674546
Ürümqi,43.8,87.6,73.4,38,0,11.18,CN,1594674546
Kholm,59.27,32.85,51.84,96,90,1.83,RU,1594674546
Khandyga,62.67,135.6,68.79,93,72,1.99,RU,1594674026
Zaysan,47.47,84.87,59.79,63,38,7.11,KZ,1594674244
Shimoda,34.67,138.95,68.0,94,100,14.34,JP,1594674261
Mossamedes,-15.2,12.15,63.41,82,0,0.31,AO,1594674185
Masaki,33.79,132.71,72.0,99,100,4.0,JP,1594674548
Shizunai-furukawachō,42.33,142.37,61.09,87,8,5.37,JP,1594674549
Bhag,29.04,67.82,98.15,33,0,3.91,PK,1594674197
Havøysund,71.0,24.66,50.0,87,20,9.17,NO,1594674482
Kehychivka,49.29,35.76,63.97,96,100,5.55,UA,1594674550
Aketi,2.74,23.78,71.47,90,100,1.72,CD,1594674550
Constantine,36.37,6.61,77.0,50,40,6.93,DZ,1594674550
Araouane,18.9,-3.53,100.47,20,37,8.32,ML,1594674551
Orlik,52.52,99.83,56.71,77,90,1.05,RU,1594674551
Dinard,48.63,-2.06,61.0,82,6,6.93,FR,1594674552
Nāthdwāra,24.93,73.82,79.68,78,97,5.64,IN,1594674552
Anamur,36.08,32.84,77.0,100,20,7.67,TR,1594674552
Tonj,7.27,28.68,71.26,92,45,4.65,SS,1594674553
Khani,41.96,42.96,69.8,94,75,2.24,GE,1594674553
Souillac,-20.52,57.52,69.8,88,40,11.41,MU,1594674224
Yur’yevets,57.32,43.1,65.95,95,99,5.48,RU,1594674554
Mitrovice,42.88,20.87,57.2,54,89,3.36,XK,1594674554
Kaiyuan,23.7,103.3,64.04,87,78,3.69,CN,1594674555
Wamba,8.93,8.6,73.38,92,60,2.48,NG,1594674333
Horsham,51.06,-0.33,64.99,59,100,8.05,GB,1594674555
Atbasar,51.8,68.33,64.83,66,0,5.44,KZ,1594674556
Taksimo,56.34,114.88,64.89,73,13,0.78,RU,1594674556
